Name,Languages,"Translated (Words)","Target Words","Approved (Words)",Voted,"""+"" votes received","""-"" votes received","Winning (Words)",Joined
"菘菘 (SiongSng)","Chinese Traditional",112658,188707,1011,0,232,6,98,"2021-02-19 05:02:03"
"舞秋風 (chesterccj305)","Chinese Traditional",58723,104197,1404,0,44,112,1112,"2021-03-01 15:40:11"
"Abner Chen (AbnerChen)","Chinese Traditional",15788,22980,0,34,0,0,3,"2021-05-27 12:28:32"
"林家豪 (jlin53882)","Chinese Traditional",10215,15821,0,2,0,0,25,"2021-05-23 23:06:58"
dd880602,"Chinese Traditional",9456,14643,0,0,0,6,0,"2021-05-14 09:14:32"
"蔡ff (YFan610)","Chinese Traditional",8457,11759,0,0,0,0,0,"2021-06-01 03:59:15"
"蘇子齊 (denzil890531)","Chinese Traditional",7985,13585,0,5,0,0,0,"2021-06-09 04:15:11"
"王程賀 (1265724255)","Chinese Traditional",5937,10765,0,2,0,0,2,"2021-05-23 13:54:04"
"夜之星 (StarskyXIII)","Chinese Traditional",5452,10812,0,16,0,0,1,"2021-04-18 14:40:46"
"綸綸るんるん (hank0425)","Chinese Traditional",2997,5167,55,1,42,0,751,"2021-05-23 09:06:43"
JayKuo1203,"Chinese Traditional",2862,4597,0,1,2,8,0,"2021-04-04 03:26:28"
"茉聶 (niemoxi)","Chinese Traditional",2608,4491,0,6,0,0,3,"2021-05-16 01:59:24"
zica87,"Chinese Traditional",1713,3012,0,24,0,0,0,"2021-05-11 08:16:59"
__Luminous__,"Chinese Traditional",1072,1567,0,18,0,5,1,"2021-05-28 05:09:36"
"Uli Hello (kuhn184222)","Chinese Traditional",1053,1918,0,0,0,1,0,"2021-05-05 08:52:33"
0oChuo0,"Chinese Traditional",902,1492,0,0,2,3,0,"2021-05-13 06:00:19"
"陳裕太 (yutayamamoto212)","Chinese Traditional",865,1506,0,2,0,0,0,"2021-05-13 07:39:53"
__HJ,"Chinese Traditional",653,1268,0,2,0,0,0,"2021-04-08 05:25:04"
vm3aup354,"Chinese Traditional",596,888,0,0,0,0,0,"2021-05-11 19:03:10"
"康皓鈞 (hankkan940228)","Chinese Traditional",589,1084,0,0,0,0,0,"2021-05-13 03:45:57"
"黃正文 (a233861411)","Chinese Traditional",576,1082,0,0,0,0,0,"2021-04-06 10:45:32"
HumanKuo,"Chinese Traditional",572,1098,0,1,0,0,0,"2021-06-03 16:34:08"
"謝旻恆 (baron7222)","Chinese Traditional",563,1001,0,0,0,0,0,"2021-05-27 00:09:07"
underline_ROC,"Chinese Traditional",519,919,0,63,0,0,0,"2021-05-13 08:42:29"
"默默無名邊緣人 (MarginalPerson)","Chinese Traditional",442,699,0,112,9,0,37,"2021-03-13 06:51:47"
Siliq,"Chinese Traditional",401,729,0,0,0,0,1,"2021-05-14 14:46:03"
"Rabbit Killer (gameplay4japan)","Chinese Traditional",351,579,0,5,0,0,0,"2021-05-18 05:56:50"
"徐紀瀚 (davidhsu1)","Chinese Traditional",326,603,0,0,0,0,0,"2021-05-14 03:21:29"
Linkinrock,"Chinese Traditional",245,463,0,207,0,0,0,"2021-05-13 08:10:22"
